ticker,pe (ttm)
A2M.AX,31.01
AAC.AX,21.24
ABC.AX,21.72
ABP.AX,22.13
AFI.AX,32.98
AGL.AX,8.54
AIA.AX,48.05
ALD.AX,--
ALL.AX,30.96
ALQ.AX,62.12
ALU.AX,119.86
ALX.AX,--
AMC.AX,29.42
AMP.AX,--
ANN.AX,23.56
ANZ.AX,12.17
APA.AX,40.56
API.AX,9.81
APT.AX,--
APX.AX,98.19
ARB.AX,45.09
ARF.AX,10.46
ARG.AX,27.25
ASB.AX,13.99
AST.AX,25.28
ASX.AX,32.35
AVH.AX,--
AWC.AX,31.81
AX1.AX,17.35
AZJ.AX,13.79
BAP.AX,30.03
BBN.AX,67.10
BEN.AX,18.27
BGA.AX,52.63
BHP.AX,16.67
BIN.AX,27.20
BKL.AX,75.77
BKW.AX,9.46
BLD.AX,--
BLX.AX,13.55
BOQ.AX,10.19
BPT.AX,6.37
BRG.AX,54.44
BSL.AX,75.73
BVS.AX,21.92
BWP.AX,12.53
BXB.AX,25.53
CAR.AX,45.92
CBA.AX,16.78
CCL.AX,40.25
CCP.AX,56.91
CCX.AX,62.42
CGC.AX,--
CGF.AX,--
CHC.AX,18.22
CIM.AX,--
CKF.AX,40.62
CNU.AX,90.68
COH.AX,--
COL.AX,24.67
CPU.AX,22.33
CQR.AX,34.34
CSL.AX,46.87
CSR.AX,18.47
CTD.AX,--
CUV.AX,72.49
CWN.AX,76.38
CWY.AX,40.71
DHG.AX,--
DMP.AX,53.74
DOW.AX,--
DXS.AX,10.43
ECX.AX,--
EHE.AX,--
EHL.AX,4.52
ELD.AX,16.58
EML.AX,--
EVN.AX,34.73
FBU.AX,--
FLT.AX,--
FMG.AX,7.82
FNP.AX,62.84
FPH.AX,71.27
FXL.AX,26.87
GMA.AX,--
GMG.AX,23.81
GOR.AX,37.21
GOZ.AX,9.92
GPT.AX,"1,017.33"
GUD.AX,25.00
GWA.AX,17.69
HLS.AX,30.81
HSN.AX,31.78
HVN.AX,11.97
IAG.AX,26.25
IEL.AX,74.29
IFL.AX,21.45
IGO.AX,17.26
ILU.AX,--
IMD.AX,26.13
INA.AX,38.21
ING.AX,28.52
IPH.AX,28.34
IPL.AX,18.86
IRE.AX,28.67
IRI.AX,26.68
IVC.AX,207.37
JBH.AX,19.68
JHG.AX,77.08
JHX.AX,69.28
KGN.AX,82.89
KLA.AX,17.11
LLC.AX,--
LNK.AX,--
LOV.AX,81.68
LYC.AX,--
MFG.AX,29.27
MGR.AX,16.21
MIN.AX,4.68
MMS.AX,--
MND.AX,27.12
MNF.AX,33.82
MP1.AX,--
MPL.AX,23.04
MQG.AX,16.20
MSB.AX,--
MTS.AX,--
NAB.AX,17.23
NAN.AX,168.22
NCM.AX,27.19
NEA.AX,--
NEC.AX,--
NHC.AX,--
NHF.AX,22.52
NSR.AX,11.91
NST.AX,43.44
NUF.AX,--
NWH.AX,11.88
NWL.AX,96.85
NWS.AX,--
NXT.AX,--
OFX.AX,14.28
OGC.AX,--
OML.AX,--
ORA.AX,89.06
ORE.AX,--
ORG.AX,94.17
ORI.AX,16.73
OSH.AX,--
OZL.AX,23.73
PGH.AX,9.19
PME.AX,131.31
PMV.AX,26.79
PPT.AX,17.58
PRN.AX,33.40
PRU.AX,17.92
PTM.AX,12.15
QAN.AX,--
QBE.AX,--
QUB.AX,52.74
REA.AX,144.55
REG.AX,79.73
RFF.AX,16.96
