ticker,pe (ttm)
EHL.AX,4.52
MIN.AX,4.68
BPT.AX,6.37
SOL.AX,6.51
WPR.AX,7.6
FMG.AX,7.66
AGL.AX,8.54
SKC.AX,8.85
PGH.AX,9.07
BKW.AX,9.46
API.AX,9.81
GOZ.AX,9.92
BOQ.AX,10.19
SFR.AX,10.21
DXS.AX,10.43
ARF.AX,10.46
TGR.AX,10.88
NWH.AX,11.88
NSR.AX,11.91
HVN.AX,11.97
SGF.AX,12
PTM.AX,12.07
ANZ.AX,12.17
SHV.AX,12.43
BWP.AX,12.56
RRL.AX,13.02
BLX.AX,13.65
AZJ.AX,13.79
ASB.AX,13.99
WBC.AX,14.04
OFX.AX,14.28
RIO.AX,15.79
SIQ.AX,16.16
MGR.AX,16.21
MQG.AX,16.22
RFF.AX,16.53
ELD.AX,16.58
BHP.AX,16.67
SBM.AX,16.73
ORI.AX,16.73
CBA.AX,16.78
KLA.AX,17.11
NAB.AX,17.23
IGO.AX,17.26
AX1.AX,17.4
PPT.AX,17.58
GWA.AX,17.69
PRU.AX,17.92
CHC.AX,18.12
BEN.AX,18.27
SSM.AX,18.32
CSR.AX,18.39
TLS.AX,18.89
SUN.AX,19.13
IPL.AX,19.41
WSA.AX,19.61
JBH.AX,19.68
SPK.AX,20.25
AAC.AX,21.43
IFL.AX,21.45
NHF.AX,21.46
ABC.AX,21.72
CPU.AX,21.78
BVS.AX,21.92
SUL.AX,21.99
ABP.AX,22.13
MPL.AX,23.04
ANN.AX,23.56
OZL.AX,23.73
GMG.AX,23.81
SCP.AX,24.47
COL.AX,24.67
GUD.AX,25
AST.AX,25.28
BXB.AX,25.53
IAG.AX,25.61
TWE.AX,25.63
IMD.AX,26.13
UWL.AX,26.58
FXL.AX,26.87
IRI.AX,27.11
MND.AX,27.12
PMV.AX,27.18
NCM.AX,27.19
ARG.AX,27.25
BIN.AX,27.3
IPH.AX,28.34
ING.AX,28.52
IRE.AX,28.9
MFG.AX,29.27
AMC.AX,29.42
BAP.AX,30.03
HLS.AX,30.12
SAR.AX,30.94
ALL.AX,30.96
A2M.AX,31.01
WGX.AX,31.57
WOR.AX,31.7
HSN.AX,31.78
AWC.AX,31.81
SHL.AX,32.1
ASX.AX,32.35
PRN.AX,32.82
AFI.AX,33.03
MNF.AX,33.13
WES.AX,33.26
WHC.AX,33.41
CQR.AX,34.34
EVN.AX,34.73
GOR.AX,37.21
RWC.AX,37.48
INA.AX,38.21
CWY.AX,40.16
CCL.AX,40.25
APA.AX,40.56
CKF.AX,40.62
RMD.AX,41.58
WOW.AX,42.14
NST.AX,43.44
ARB.AX,44.57
TNE.AX,45.12
CAR.AX,45.92
CSL.AX,46.54
SKI.AX,47.77
AIA.AX,48.05
RHC.AX,51.34
DMP.AX,52.36
BGA.AX,52.63
QUB.AX,52.93
BRG.AX,54.44
WTC.AX,55.93
CCP.AX,56.91
ALQ.AX,62.12
CCX.AX,62.42
FNP.AX,62.84
SVW.AX,62.97
BBN.AX,67.78
JHX.AX,68.65
FPH.AX,71.27
CUV.AX,73.5
IEL.AX,74.29
BSL.AX,75.73
BKL.AX,75.77
CWN.AX,76.38
JHG.AX,77.08
REG.AX,80.53
LOV.AX,81.68
KGN.AX,82.89
ORA.AX,88.71
CNU.AX,90.68
SYD.AX,93.51
ORG.AX,94.17
NWL.AX,96.85
APX.AX,98.19
ALU.AX,119.86
PME.AX,131.31
REA.AX,141.51
TRS.AX,142.24
NAN.AX,168.22
IVC.AX,207.37
GPT.AX,"1,017.33"
VRT.AX,"1,291.55"
XRO.AX,"5,450.27"
WPL.AX,--
WEB.AX,--
VRL.AX,--
VOC.AX,--
VCX.AX,--
URW.AX,--
TPG.AX,--
TCL.AX,--
TAH.AX,--
STO.AX,--
SGR.AX,--
SGP.AX,--
SGM.AX,--
SEK.AX,--
SDF.AX,--
SCG.AX,--
S32.AX,--
RSG.AX,--
QBE.AX,--
QAN.AX,--
OSH.AX,--
ORE.AX,--
OML.AX,--
OGC.AX,--
NXT.AX,--
NWS.AX,--
NUF.AX,--
NHC.AX,--
NEC.AX,--
NEA.AX,--
MTS.AX,--
MSB.AX,--
MP1.AX,--
MMS.AX,--
LYC.AX,--
LNK.AX,--
LLC.AX,--
ILU.AX,--
GMA.AX,--
FLT.AX,--
FBU.AX,--
EML.AX,--
EHE.AX,--
ECX.AX,--
DOW.AX,--
DHG.AX,--
CTD.AX,--
COH.AX,--
CIM.AX,--
CGF.AX,--
CGC.AX,--
BLD.AX,--
AVH.AX,--
APT.AX,--
AMP.AX,--
ALX.AX,--
ALD.AX,--
